,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
60653,20,9,334,0,2,0,0,1,0,27,1,0,0,0.04,2
31698,24,9,283,12505,2,0,0,1,0,255,1,0,0.01,0,4
50187,12,9,44,153,73,0,0,1,0,255,1,0,0,0,4
44314,12,9,45,81,206,0,0,1,0,254,1,0.01,0,0,4
112869,19,5,0,0,250,1,1,0.06,0.06,1,0,0.09,1,1,0
73748,20,9,2194619,0,1,0,0,1,0,69,0.39,0.04,0,0,4
59414,68,5,0,0,284,1,1,0.02,0.06,6,0.02,0.08,1,1,0
83822,24,1,0,0,1,0,0,1,0,255,1,0,0,0.01,4
122103,67,1,0,0,253,0,0,0.04,0.06,9,0.04,0.07,0,0,0
107241,44,9,147,105,2,0,0,1,0,2,0.01,0.61,0,0,4
115496,24,9,207,5200,19,0,0,1,0,255,1,0,0,0,4
24955,36,1,0,0,246,0,0,0.07,0.06,18,0.07,0.06,0,0,0
124835,24,9,309,38960,4,0,0,1,0,255,1,0,0,0,4
108810,24,9,209,770,18,0,0,1,0,255,1,0,0,0,4
60041,49,4,1,0,2,0,0,1,0,2,0.01,0.51,0,0,1
100570,49,9,105,147,2,0,0,1,0,249,0.98,0.01,0,0,4
33094,54,9,1259,479,1,0,0,1,0,2,0.01,0.01,0,0,4
105869,13,5,0,0,205,1,1,0.04,0.06,8,0.03,0.07,1,1,0
115076,12,9,43,71,224,0,0,1,0,255,1,0,0,0,4
25949,24,9,201,559,4,0.25,0.25,1,0,255,1,0,0.25,0.01,4
68222,24,9,305,2013,2,0,0,1,0,234,0.92,0.01,0,0,4
28220,49,9,1,0,52,0,0,0.12,0.1,6,0.02,0.02,0,0,1
36809,49,5,0,0,238,1,1,0.03,0.06,20,0.08,0.07,1,1,0
25258,24,9,190,345,2,0,0,1,0,255,1,0,0,0,4
38446,24,9,286,301,3,0,0,1,0,255,1,0,0,0,4
115205,49,9,1,0,18,0,0,0.06,0.56,1,0,0.47,0.03,0,1
86460,20,9,2194619,0,2,0,0,1,0,76,0.28,0.03,0,0,4
31932,49,1,0,0,1,0,0,1,0,2,0.02,1,0,0,1
93641,49,5,0,0,105,1,1,0.04,0.07,2,0.01,0.06,1,1,0
122045,49,5,0,0,80,1,1,0.25,0.05,1,0,0.07,1,1,0
18263,12,9,44,115,192,0,0,1,0,233,0.91,0.01,0,0,4
52950,24,9,193,19717,1,0,0,1,0,255,1,0,0.01,0.01,4
75463,24,9,321,3411,1,0,0,1,0,255,1,0,0,0,4
44276,44,9,147,105,1,0,0,1,0,2,0.01,0.76,0,0,4
102081,24,9,54540,8314,4,0,0,1,0,255,1,0,0,0,0
76519,24,9,317,4415,1,0,0,1,0,255,1,0,0,0,4
107385,49,5,0,0,101,1,1,0.16,0.06,3,0.01,0.08,1,1,0
116654,24,9,179,15384,1,0,0,1,0,255,1,0,0,0,4
27856,36,5,0,0,287,1,1,0.02,0.06,13,0.05,0.07,1,1,0
54015,24,9,208,3373,11,0,0,1,0,255,1,0,0,0,4
89650,12,9,43,126,20,0,0,1,0,191,0.78,0.02,0,0,4
111469,24,9,259,345,17,0,0,1,0,255,1,0,0,0,4
84373,12,9,33,0,1,0,0,1,0,3,0.01,0.53,0,0,4
28014,24,9,319,3588,8,0,0,1,0,255,1,0,0,0,4
73783,20,9,383,0,2,0,0,1,0,55,0.03,0.03,0,0,4
14430,49,1,0,0,62,0,0,0.32,0.08,20,0.08,0.06,0,0,0
59724,20,9,8325,0,18,0,0,1,0,100,0.39,0.02,0,0,4
70230,54,9,1448,326,1,0,0,1,0,19,0.07,0.49,0,0,4
54914,19,9,1077,2284,1,0,0,1,0,17,0.07,0.02,0.15,0,2
6985,24,9,212,728,6,0,0,1,0,255,1,0,0,0,4
19268,14,9,8,0,1,0,0,1,0,86,1,0,0,0,1
4972,44,9,145,0,11,0,0,0.09,0.27,1,0,0.62,0,0,4
26932,60,5,0,0,16,1,1,0.19,0.25,63,0.25,0.02,1,1,0
7506,24,9,184,1619,2,0,0,1,0,231,0.91,0.01,0,0,4
4294,54,9,1095,371,1,0,0,1,0,166,0.7,0.03,0,0,4
65506,67,5,0,0,267,1,1,0.05,0.05,13,0.05,0.05,1,1,0
55204,24,9,295,1160,2,0,0,1,0,255,1,0,0,0,4
70413,24,9,312,2873,4,0,0,1,0,255,1,0,0,0,4
40260,49,5,0,0,146,1,1,0.12,0.06,3,0.01,0.07,1,1,0
13625,49,5,0,0,108,1,1,0.15,0.06,11,0.04,0.07,1,1,0
73475,49,5,0,0,150,1,1,0.09,0.05,33,0.13,0.05,1,1,0
69993,49,5,0,0,129,1,1,0.09,0.06,19,0.07,0.07,1,1,0
57734,14,9,8,0,1,0,0,1,0,129,1,0,0,0,1
43509,14,9,30,0,2,0,0,0.5,1,8,0.03,0.01,0,0,4
119257,49,1,0,0,511,0.12,0,0,1,1,0,1,0.13,0,1
89808,24,9,251,1973,2,0,0,1,0,255,1,0,0,0,4
9998,49,1,0,0,203,0,0,0.04,0.06,8,0.03,0.07,0,0,0
100817,24,9,252,531,15,0,0,1,0,255,1,0,0,0,4
123437,14,9,8,0,1,0,0,1,0,92,1,0,0,0,1
43961,19,9,871,2579,1,0,0,1,0,47,0.27,0.03,0,0,4
117486,15,9,520,0,311,0,0,1,0,255,1,0,0,0,0
70963,24,9,54540,8314,4,0,0,1,0,253,1,0,0,0,0
116272,24,9,173,27856,1,0,0,1,0,255,1,0,0,0,4
9049,35,5,0,0,222,1,1,0,0.06,1,0,0.07,1,1,0
53221,12,9,44,77,165,0,0,1,0,255,1,0,0,0,4
34082,12,9,45,45,126,0,0,1,0,254,1,0.01,0,0,4
98305,24,9,239,18798,4,0.25,0.17,1,0,156,1,0,0.25,0.01,4
86592,60,9,150,7204,1,0,0,1,0,8,1,0,0,0,4
108447,24,9,202,2323,15,0,0,1,0,255,1,0,0,0,4
78992,38,5,0,0,31,1,1,0.45,0.16,14,0.05,0.07,1,1,0
70374,24,9,216,5479,6,0,0,1,0,255,1,0,0,0,4
112059,12,9,43,43,123,0,0,1,0,253,0.99,0.01,0,0,4
53138,20,5,0,0,2,1,1,0.5,1,64,0.25,0.02,1,1,0
16636,44,5,0,0,510,0.21,1,0,1,1,0,1,0.17,1,1
41818,49,5,0,0,153,1,1,0.05,0.07,8,0.03,0.07,1,1,0
11370,20,9,567,0,1,0,0,1,0,107,0.2,0.6,0,0.01,4
118193,49,1,0,0,106,0,0,0.02,0.08,2,0.01,0.07,0,0,0
114134,24,9,251,1719,8,0,0,1,0,255,1,0,0,0,4
14583,68,5,0,0,266,1,1,0.03,0.07,8,0.03,0.08,1,1,0
97238,47,9,38,130,1,0,0,1,0,5,0.03,0.05,0.01,0,4
31161,14,9,18,0,1,0,0,1,0,194,1,0,0,0,1
33956,54,9,690,331,1,0,0,1,0,200,0.69,0.03,0,0,4
89701,24,9,304,167,5,0,0,1,0,255,1,0,0,0,4
40677,20,9,276,0,3,0,0,1,0,63,0.23,0.02,0,0,4
97505,44,5,0,0,427,0.07,1,0,1,1,0,1,0.09,1,1
76194,49,9,1,0,36,0,0,0.03,0.11,1,0,0.67,0.16,0,1
114525,24,9,293,8212,10,0,0,1,0,255,1,0,0,0,4
61949,24,9,339,5530,1,0,0,1,0,255,1,0,0,0,4
31729,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
76865,24,9,304,335,3,0,0,1,0,255,1,0,0,0,4
91702,41,5,0,0,150,1,1,0.07,0.05,10,0.04,0.07,1,1,0
56262,12,9,44,130,141,0,0,1,0,254,1,0.01,0,0,4
91237,49,5,0,0,113,1,1,0.07,0.06,13,0.05,0.06,1,1,0
22510,24,5,0,0,11,1,1,0.27,0.36,59,0.23,0.04,1,1,0
59338,49,5,0,0,36,1,1,0.14,0.11,5,0.02,0.09,1,1,0
18829,8,5,0,0,217,1,1,0.06,0.06,13,0.05,0.07,1,1,0
101870,24,9,232,904,28,0,0,1,0,255,1,0,0,0,4
105519,54,9,1161,331,1,0,0,1,0,113,0.59,0.05,0,0,4
88185,2,5,0,0,251,1,1,0.05,0.06,12,0.05,0.07,1,1,0
105776,56,5,0,0,232,1,1,0.06,0.06,15,0.06,0.07,1,1,0
23043,24,9,289,2658,37,0,0,1,0,255,1,0,0,0,4
55245,24,9,276,5100,5,0,0,1,0,255,1,0,0,0,4
68203,49,1,0,0,179,0,0,0.09,0.07,16,0.06,0.07,0,0,0
69928,49,5,0,0,45,1,1,0.44,0.09,20,0.08,0.07,1,1,0
117676,14,9,18,0,1,0,0,1,0,11,1,0,0,0,1
1790,14,9,8,0,1,0,0,1,0,41,1,0,0,0,1
67796,54,9,847,328,1,0,0,1,0,80,0.38,0.02,0.01,0,4
112205,24,9,226,3102,11,0,0,1,0,255,1,0,0,0,4
67248,24,9,297,1445,12,0,0,1,0,255,1,0,0,0,4
73371,20,9,172,0,3,0,0,1,0,42,0.29,0.04,0,0,4
41900,44,9,1,0,15,0,0,0.2,0.27,3,0.01,0.26,0,0,1
84860,12,9,42,130,73,0,0,1,0,254,1,0.01,0,0,4
123653,14,9,8,0,1,0,0,1,0,129,1,0,0,0,1
113018,24,9,304,3694,2,0,0,1,0,255,1,0,0,0,4
68789,12,9,43,125,232,0,0,1,0,251,0.98,0.01,0,0,4
114034,24,9,229,753,6,0,0,1,0,255,1,0,0,0,4
82016,12,9,42,42,6,0,0,1,0,210,0.82,0.01,0,0,4
15853,13,5,0,0,177,1,1,0.08,0.06,15,0.06,0.06,1,1,0
9267,12,9,46,72,145,0,0,1,0,202,0.79,0.01,0,0,4
28946,20,9,1376,0,13,0,0,1,0,48,0.73,0.15,0,0,4
48127,24,9,191,566,12,0,0,1,0,255,1,0,0,0,4
47104,49,4,1,0,2,0,0,1,0,2,0.01,0.68,0,0,1
79909,49,1,0,0,78,0,0,0.15,0.06,12,0.05,0.06,0,0,0
72996,12,9,44,71,122,0,0,1,0,253,0.99,0.01,0,0,4
124233,18,5,0,0,26,0.96,1,0.38,0.15,17,0.07,0.06,1,1,0
43175,49,5,0,0,224,1,1,0.08,0.06,3,0.01,0.07,1,1,0
102432,54,9,1758,399,1,0,0,1,0,247,0.98,0.04,0,0,4
8458,54,9,1429,364,1,0,0,1,0,89,0.8,0.03,0,0,4
71295,15,9,520,0,255,0,0,1,0,255,1,0,0,0,0
104298,24,9,190,1622,6,0,0,1,0,255,1,0,0,0,4
36547,24,9,219,3248,11,0,0,1,0,255,1,0,0,0,4
56649,12,9,44,127,16,0,0,1,0,91,0.59,0.03,0,0,4
76769,24,9,276,3652,2,0,0,1,0,255,1,0,0,0,4
100292,20,9,383,0,2,0,0,1,0,21,0.27,0.18,0,0,4
51398,15,9,1032,0,503,0,0,1,0,207,0.81,0.02,0,0,0
87074,67,5,0,0,206,1,1,0.05,0.07,10,0.04,0.07,1,1,0
46576,20,9,3676,0,7,0,0,1,0,62,0.44,0.06,0,0,4
48711,24,9,327,7042,4,0,0,1,0,255,1,0,0,0.01,4
71242,24,9,238,215,9,0,0,1,0,255,1,0,0,0,4
114389,49,5,0,0,146,1,1,0.08,0.05,12,0.05,0.04,1,1,0
44386,24,9,160,6787,2,0,0,1,0,255,1,0,0,0,4
65695,43,9,48,48,1,0,0,1,0,8,0.03,0.01,0,0,4
7814,24,9,212,2809,3,0,0,1,0,255,1,0,0,0,4
81370,12,9,45,77,76,0,0,1,0,254,1,0.01,0,0,4
97553,24,9,203,5034,4,0,0,1,0,255,1,0,0,0,4
46243,20,9,334,0,1,0,0,1,0,23,1,0,0,0,2
117664,54,9,767,333,1,0,0,1,0,85,0.73,0.05,0.01,0.01,4
68011,24,9,341,1352,4,0,0,1,0,255,1,0,0,0,4
36241,54,9,1464,328,1,0,0,1,0,119,0.49,0.04,0,0,4
41827,49,5,0,0,88,1,1,0.05,0.09,4,0.02,0.07,1,1,0
3994,49,9,105,146,3,0,0,0.33,0.67,219,0.86,0.01,0,0,4
74976,7,5,0,0,232,1,1,0.02,0.05,5,0.02,0.06,1,1,0
22852,24,9,147,3253,1,0,0,1,0,255,1,0,0,0,4
113675,49,5,0,0,242,1,1,0.03,0.07,15,0.06,0.08,1,1,0
107734,49,5,0,0,20,1,1,0.1,0.15,17,0.07,0.07,1,1,0
109507,54,9,2971,338,1,0,0,1,0,111,0.4,0.03,0,0.01,4
92251,49,5,0,0,158,1,1,0.02,0.07,3,0.01,0.07,1,1,0
15501,24,9,287,2872,3,0,0,1,0,255,1,0,0,0,4
11941,49,5,0,0,99,1,1,0.11,0.06,13,0.05,0.06,1,1,0
60607,49,9,105,147,1,0,0,1,0,59,0.98,0.03,0,0,4
27142,14,9,8,0,1,0,0,1,0,80,1,0,0,0,1
59879,44,6,1460,0,5,0.2,1,0.2,1,1,0.01,0.19,0.03,1,4
38625,49,5,0,0,176,1,1,0.05,0.08,9,0.04,0.07,1,1,0
4215,69,5,0,0,100,1,1,0.02,0.07,2,0.01,0.06,1,1,0
95180,44,9,88382,0,1,0,0,1,0,1,0.02,0.33,0,0,4
120181,49,5,0,0,133,0.99,1,0.1,0.07,15,0.06,0.06,1,1,0
40284,15,9,520,0,154,0,0,1,0,255,1,0,0,0,0
71278,12,9,42,72,278,0,0,1,0,242,0.95,0.01,0,0,4
94326,49,1,0,0,212,0,0,0,0.06,1,0,0.07,0,0,0
112701,24,9,289,468,3,0.33,0.25,1,0,255,1,0,0.03,0.02,4
47075,12,9,44,71,278,0,0,1,0,254,1,0.01,0,0,4
17904,49,9,28,0,96,0,0,1,0,63,0.25,0.01,0,0,0
38647,49,5,0,0,62,1,1,0.24,0.1,15,0.06,0.08,1,1,0
20531,20,9,373,0,1,0,0,1,0,88,0.78,0.33,0,0,4
20886,24,9,310,2017,16,0,0,1,0,255,1,0,0,0.01,4
74903,49,1,0,0,441,0.05,0,0,1,1,0,1,0.08,0,1
103144,20,9,192,0,1,0,0,1,0,29,0.1,0.06,0.02,0.07,4
17053,24,9,249,4286,13,0,0,1,0,250,0.98,0.01,0,0,4
13152,15,9,520,0,482,0,0,1,0,108,1,0,0,0,0
74596,6,5,0,0,20,1,1,0.25,0.15,5,0.02,0.07,1,1,0
12246,24,9,193,649,5,0,0,1,0,243,1,0,0,0,4
112314,49,5,0,0,189,1,1,0.13,0.05,24,0.09,0.05,1,1,0
81252,16,5,0,0,101,1,1,0.11,0.06,11,0.04,0.06,1,1,0
119094,24,9,317,730,16,0,0,1,0,255,1,0,0,0,4
29330,4,5,0,0,282,1,1,0.07,0.04,21,0.08,0.05,1,1,0
122359,23,1,0,0,142,0,0,0.11,0.06,15,0.06,0.06,0,0,0
27242,44,1,0,0,510,0.19,0,0,1,1,0,1,0.18,0,1
77622,49,5,0,0,80,1,1,0.24,0.06,2,0.01,0.07,1,1,0
120637,44,1,0,0,420,0.08,0,0,1,1,0,1,0.1,0,1
53154,24,9,219,1896,7,0,0,1,0,255,1,0,0,0,4
49654,14,9,18,0,2,0,0,0.5,1,224,1,0,0,0,1
6622,60,9,477,2196,1,0,0,1,0,21,0.23,0.03,0,0.05,4
98731,9,5,0,0,266,1,1,0.09,0.05,23,0.09,0.05,1,1,0
6764,69,5,0,0,277,1,1,0.03,0.05,7,0.03,0.05,1,1,0
15325,6,5,0,0,111,1,1,0.03,0.07,3,0.01,0.07,1,1,0
28815,49,1,0,0,231,0,0,0.08,0.07,19,0.07,0.07,0,0,0
88818,24,9,230,1256,9,0,0,1,0,255,1,0,0,0,4
117158,24,9,354,736,4,0,0,1,0,255,1,0,0,0,4
77229,30,5,0,0,120,1,1,0.12,0.06,9,0.04,0.07,1,1,0
34674,24,9,296,21681,5,0,0,1,0,255,1,0,0.01,0,4
10391,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
49549,24,9,314,237,5,0,0,1,0,255,1,0,0,0,4
64085,54,9,1024,330,1,0,0,1,0,81,0.32,0.03,0,0,4
59308,24,9,307,782,11,0,0,1,0,255,1,0,0,0,4
89491,69,5,0,0,227,1,1,0.02,0.06,4,0.02,0.07,1,1,0
103996,49,5,0,0,163,1,1,0.03,0.07,15,0.06,0.09,1,1,0
7517,24,9,239,940,9,0,0,1,0,255,1,0,0,0,4
124114,20,9,567,0,2,0,0,0.5,1,44,0.35,0.07,0,0,4
78317,2,5,0,0,218,1,1,0.08,0.06,18,0.07,0.07,1,1,0
74264,6,5,0,0,101,1,1,0.01,0.07,7,0.03,0.06,1,1,0
67679,24,9,324,1918,5,0,0,1,0,255,1,0,0,0,4
94135,4,1,0,0,227,0,0,0.06,0.07,14,0.05,0.08,0,0,0
62363,49,9,215,0,1,0,0,1,0,45,0.85,0.04,0,0,1
114794,49,4,0,0,1,0,0,1,0,1,0,0.76,0.03,0,1
47214,24,9,193,7936,5,0,0,1,0,255,1,0,0,0,4
64795,24,9,328,2169,21,0,0,1,0,255,1,0,0.01,0,4
54477,24,9,234,8116,13,0,0,1,0,41,1,0,0,0,4
31011,24,9,252,4586,12,0,0,1,0,255,1,0,0,0,4
114972,44,9,516,4,311,0,0,1,0,255,1,0,0,0,4
12737,14,9,8,0,1,0,0,1,0,166,1,0,0,0,1
83430,24,9,269,9317,2,0,0,1,0,255,1,0,0,0,4
82813,24,9,277,3097,7,0,0,1,0,255,1,0,0,0,4
111031,12,9,45,128,20,0,0,1,0,148,0.66,0.02,0,0,4
79003,24,9,241,1302,9,0,0,1,0,255,1,0,0,0,4
76380,12,9,35,91,2,0,0,1,0,246,0.96,0.01,0,0,4
47753,55,5,0,0,123,1,1,0.19,0.05,23,0.09,0.05,1,1,0
119234,12,9,46,134,59,0,0,1,0,239,0.94,0.01,0,0,4
117825,20,9,10389,0,8,0,0,1,0,76,0.34,0.03,0.02,0.03,4
73989,13,2,0,0,255,0,0,0.01,0.07,3,0.01,0.09,0,0,0
56478,58,5,0,0,155,1,1,0.04,0.06,6,0.02,0.06,1,1,0
2347,18,9,12,226,1,0,0,1,0,10,0.05,0.03,0,0,4
78653,20,9,1766,0,2,0,0,1,0,128,0.5,0.02,0,0.01,4
8842,24,9,256,2052,2,0,0.57,1,0,255,1,0,0,0,4
89981,24,9,267,14496,3,0,0,1,0,255,1,0,0,0,4
76639,20,9,2191,0,15,0,0,1,0,70,0.67,0.05,0,0,4
48933,24,5,0,0,2,0.5,0.5,1,0,255,1,0,0.04,0.01,4
46281,49,5,0,0,158,1,1,0.08,0.07,14,0.05,0.07,1,1,0
25128,19,9,326,1063,1,0,0,1,0,13,0.28,0.09,0,0,4
103916,54,2,0,0,219,0,0,0,0.07,1,0,0.08,0,0,0
118257,12,9,46,132,133,0,0,1,0,255,1,0,0,0,4
125563,24,9,230,1536,20,0,0,1,0,255,1,0,0,0,4
93134,35,5,0,0,242,1,1,0.05,0.05,11,0.04,0.05,1,1,0
100615,14,9,8,0,1,0,0,1,0,119,1,0,0,0,1
94649,29,5,0,0,300,1,1,0.01,0.05,4,0.02,0.05,1,1,0
6246,5,5,0,0,275,1,1,0.07,0.05,18,0.07,0.05,1,1,0
17361,60,9,127,12525,1,0,0,1,0,2,0.01,0.04,0.01,0,4
117532,24,9,255,4087,13,0,0,1,0,255,1,0,0,0,4
10110,20,9,88382,0,15,0,0,1,0,112,0.44,0.03,0,0,4
46445,6,5,0,0,141,1,1,0.13,0.06,4,0.02,0.06,1,1,0
121683,18,5,0,0,291,1,1,0.07,0.04,21,0.08,0.05,1,1,0
29854,15,9,1032,0,508,0,0,1,0,156,0.61,0.02,0,0,0
94866,24,9,306,12235,30,0,0,1,0,255,1,0,0,0,4
92214,24,9,330,544,17,0,0,1,0,255,1,0,0,0,4
4997,24,9,213,27264,3,0,0,1,0,255,1,0,0.02,0.02,4
11995,24,9,208,757,3,0,0,1,0,255,1,0,0,0,4
110966,24,9,282,11476,6,0,0,1,0,255,1,0,0,0,4
17090,9,5,0,0,186,1,1,0.13,0.05,24,0.09,0.05,1,1,0
101865,12,9,45,45,198,0,0,1,0,234,0.92,0.01,0,0,4
54621,28,5,0,0,240,1,1,0.03,0.06,7,0.03,0.07,1,1,0
102649,49,5,0,0,97,1,1,0.21,0.07,1,0,0.07,1,1,0
88351,7,5,0,0,223,1,1,0.08,0.07,18,0.07,0.08,1,1,0
20556,10,5,0,0,272,1,1,0.03,0.06,7,0.03,0.07,1,1,0
79260,24,9,269,10920,4,0,0,1,0,255,1,0,0,0,4
95325,20,5,0,0,16,1,1,1,0,62,0.24,0.02,1,1,0
61208,24,9,324,1528,10,0,0,1,0,255,1,0,0,0,4
70595,49,9,1,0,140,0,0,0.74,0.04,146,0.57,0.05,0,0,1
66821,44,9,145,105,1,0,0,1,0,1,0,0.62,0,0,4
18760,24,9,334,277,10,0,0,1,0,63,0.94,0.03,0,0,4
82397,49,5,0,0,103,1,1,0.14,0.07,34,0.13,0.05,1,1,0
87020,11,5,0,0,283,1,1,0.02,0.06,4,0.02,0.06,1,1,0
12474,24,9,242,971,1,0,0,1,0,246,0.96,0.01,0,0,4
2862,49,5,0,0,101,1,1,0.17,0.06,19,0.07,0.06,1,1,0
78100,24,9,160,193,1,0,0,1,0,255,1,0,0,0,4
15576,12,9,42,127,38,0,0,1,0,197,0.81,0.02,0.01,0,4
109403,49,1,0,0,454,0.05,0,0,1,1,0,1,0.08,0,1
124259,24,9,255,618,15,0,0,1,0,255,1,0,0,0,4
930,16,1,0,0,116,0,0,0.1,0.08,12,0.05,0.07,0,0,0
110065,24,9,351,866,38,0,0,1,0,255,1,0,0,0.01,4
123084,18,5,0,0,14,1,1,0.21,0.29,63,0.25,0.02,1,1,0
57879,24,9,319,454,24,0,0,1,0,255,1,0,0,0,4
86444,12,9,42,42,2,0,0,1,0,243,0.95,0.01,0,0,4
75879,28,5,0,0,265,1,1,0.03,0.05,9,0.04,0.05,1,1,0
33231,12,9,44,133,123,0,0,1,0,254,1,0.01,0,0,4
102907,24,9,54540,8314,3,0,0,0.67,0.67,255,1,0,0,0,0
34964,49,5,0,0,106,1,1,0.1,0.06,13,0.05,0.06,1,1,0
66085,24,9,328,2798,1,0,0,1,0,255,1,0,0,0.01,4
50882,63,5,0,0,261,1,1,0.02,0.06,4,0.02,0.07,1,1,0
64683,24,9,262,1317,2,0,0,1,0,255,1,0,0,0,4
59117,24,1,0,0,1,0,0,1,0,130,1,0,0,0,4
124729,49,9,105,145,1,0,0,1,0,252,0.99,0.01,0,0,4
28143,35,5,0,0,112,1,1,0.21,0.06,6,0.02,0.06,1,1,0
65226,38,5,0,0,218,1,1,0.02,0.06,16,0.06,0.07,1,1,0
12012,24,9,320,379,8,0,0,1,0,255,1,0,0,0,4
32359,65,9,183,0,2,0,0,0.5,1,34,0.13,0.01,0,0,4
13105,24,1,0,0,1,0,0,1,0,70,1,0,0,0,4
81456,24,9,262,9051,1,0,0,1,0,255,1,0,0,0,4
97314,14,9,8,0,1,0,0,1,0,83,1,0,0,0,1
58675,44,9,2056,0,4,0.25,0,0.25,0.5,1,0.01,0.04,0.01,0,4
132,24,9,237,138,2,0,0,1,0,2,1,0,0,0,4
120901,49,9,105,146,1,0,0,1,0,252,0.99,0.01,0,0,4
106915,24,5,0,0,19,1,1,0.53,0.11,61,0.24,0.04,1,1,0
85272,54,9,794,337,1,0,0,1,0,182,0.67,0.04,0,0,4
99625,49,1,0,0,1,0,0,1,0,2,0.02,1,0,0,1
2182,12,9,43,125,74,0,0,1,0,255,1,0,0,0,4
96067,49,5,0,0,168,1,1,0.11,0.05,5,0.02,0.07,1,1,0
11583,24,9,210,1695,3,0,0,1,0,255,1,0,0,0,4
30995,24,9,291,1448,11,0,0,1,0,255,1,0,0,0,4
108527,24,9,194,466,10,0,0,1,0,255,1,0,0,0,4
1398,49,1,0,0,85,0.01,0,0.01,1,1,0,0.36,0,0,1
122647,49,5,0,0,127,1,1,0.01,0.08,1,0,0.07,1,1,0
124748,24,9,228,186,1,0,0,1,0,255,1,0,0,0.02,4
69449,24,9,310,9158,2,0,0,1,0,255,1,0,0,0,4
30359,44,9,1,0,13,0,0,0.08,0.69,1,0,0.25,0,0,1
112898,26,1,0,0,131,0,0,0.15,0.07,19,0.07,0.07,0,0,0
27150,24,9,216,458,2,0,0,1,0,255,1,0,0.08,0.01,4
58886,60,2,0,0,1,0,0,1,0,21,0.08,0.07,0.88,0.81,4
113058,4,5,0,0,241,1,1,0.04,0.06,1,0,0.07,1,1,0
66929,8,1,0,0,1,0,0,1,0,1,0.02,1,0,0,1
85321,24,9,351,1378,8,0,0,1,0,255,1,0,0,0,4
35004,49,5,0,0,37,1,1,0.19,0.11,7,0.03,0.08,1,1,0
61797,24,9,197,1108,1,0,0,1,0,255,1,0,0,0,4
118478,24,9,233,935,5,0,0,1,0,255,1,0,0,0,4
11816,49,5,0,0,246,1,1,0.07,0.06,3,0.01,0.06,1,1,0
18137,24,9,304,13204,8,0,0,1,0,255,1,0,0,0,4
36601,49,5,0,0,111,1,1,0.14,0.05,8,0.03,0.07,1,1,0
105299,34,2,0,0,124,0,0,0.05,0.06,6,0.02,0.06,0,0,0
116293,24,9,301,2431,4,0,0,1,0,255,1,0,0.01,0.01,4
60564,12,9,45,110,1,0,0,1,0,236,0.93,0.01,0,0,4
39798,23,5,0,0,137,1,1,0.07,0.06,3,0.01,0.07,1,1,0
92976,20,9,748,0,1,0,0,1,0,31,0.12,0.02,0,0,4
93227,24,9,333,3322,7,0,0,1,0,255,1,0,0,0,4
99346,49,5,0,0,20,1,1,0.1,0.3,17,0.07,0.09,1,1,0
43952,20,9,12324,0,1,0,0,1,0,48,1,0,0,0.02,4
37746,12,9,45,135,230,0,0,1,0,249,0.98,0.01,0,0,4
20543,12,9,36,0,12,0,0,1,0,209,1,0,0,0,4
85488,24,9,262,2719,2,0,0,1,0,255,1,0,0,0,4
114580,15,9,1032,0,73,0,0,1,0,255,1,0,0,0,0
82718,49,9,105,146,5,0,0,0.4,0.4,245,0.96,0.01,0,0,4
37751,24,9,226,18108,51,0,0,1,0,255,1,0,0,0,4
102164,49,5,0,0,208,1,1,0.02,0.06,2,0.01,0.07,1,1,0
118909,24,9,229,1117,10,0,0,1,0,254,1,0,0,0,4
121611,54,9,777,332,1,0,0,1,0,160,0.79,0.04,0,0,4
112993,24,9,215,863,6,0,0,1,0,255,1,0,0,0,4
34809,24,9,265,506,8,0,0,1,0,10,1,0,0,0,4
48756,54,9,902,335,1,0,0,1,0,185,0.69,0.02,0,0,4
60443,19,9,1158,2443,1,0,0,1,0,59,0.26,0.02,0,0,2
43373,56,5,0,0,269,1,1,0.07,0.07,18,0.07,0.07,1,1,0
123347,24,9,298,626,6,0,0,1,0,255,1,0,0,0,4
77024,49,5,0,0,144,1,1,0.09,0.05,13,0.05,0.04,1,1,0
60088,24,9,339,563,25,0,0,1,0,255,1,0,0,0,4
7017,44,9,516,4,344,0,0,1,0,255,1,0,0,0,4
39764,49,5,0,0,275,1,1,0.04,0.05,12,0.05,0.07,1,1,0
85902,44,5,0,0,209,1,1,0.04,0.07,17,0.07,0.07,1,1,0
27409,20,9,965,0,15,0,0,1,0,119,0.49,0.02,0,0,4
120018,20,5,0,0,19,1,1,0.11,0.21,61,0.24,0.02,1,1,0
70783,49,9,207,0,2,0,0,1,0,182,0.85,0.01,0,0,1
46090,20,9,5319,0,2,0,0,1,0,79,0.31,0.03,0,0,4
86519,54,9,2043,338,1,0,0,1,0,166,0.5,0.09,0,0,4
105995,24,9,219,153,1,0,0,1,0,255,1,0,0,0,4
115239,12,9,42,42,211,0,0,1,0.01,254,1,0.01,0,0,4
94628,24,1,0,0,1,0,0,1,0,223,1,0,0,0,4
104624,24,9,264,10242,3,0,0,1,0,255,1,0,0,0,4
